# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 920 0 0 3081 2794
p 2 0 735 185 1762 969
p 2 0 731 189 1735 989
p 2 0 780 140 2052 1065
p 2 0 685 235 1200 885
p 2 1 746 173 2626 1010
p 2 0 683 237 1770 955
p 2 0 724 196 1989 1012
p 2 0 706 214 1528 968
p 2 0 678 242 1266 888
p 2 0 631 289 1384 849
p 2 0 674 246 1630 915
p 2 0 671 249 1624 930
p 2 13 863 44 4481 1357
p 2 0 760 160 1490 1004
p 2 10 873 37 3468 1383
p 2 15 760 145 3909 1190
p 2 1 803 116 2430 1144
p 2 2 781 137 2274 1135
p 2 0 695 225 1270 912
p 2 6 852 62 3388 1266
i 2 920 0 0 16463 3756
p 2 0 796 124 4391 1270
p 2 0 786 134 3550 1220
p 2 0 669 251 2272 997
p 2 356 557 7 18917 3218
p 2 1 884 35 6298 1739
p 2 0 908 12 5432 1706
p 2 0 911 9 4889 1594
p 2 0 840 80 2751 1274
p 2 0 870 50 3759 1358
p 2 0 867 53 4363 1359
p 2 398 522 0 26177 3547
p 2 2 906 12 10534 1873
p 2 0 884 36 4739 1618
p 2 0 890 30 5702 1482
p 2 0 913 7 7797 1603
p 2 2 907 11 8145 1559
p 2 0 891 29 5155 1439
p 2 0 916 4 8691 1711
i 2 920 0 0 26632 4177
p 2 0 894 26 8472 1561
p 2 0 913 7 7747 1633
p 2 0 853 67 4278 1358
p 2 0 724 196 2266 1059
p 2 0 915 5 11303 1746
i 2 920 0 0 33084 4242
p 2 1 883 36 9113 1668
p 2 3 916 1 8954 1829
p 2 0 920 0 8965 1717
i 2 920 0 0 38119 4523
p 2 1 899 20 12749 1740
p 2 0 901 19 11044 1578
p 2 0 869 51 10882 1476
p 2 0 920 0 18648 1821
i 2 920 0 0 39465 4186
p 2 0 903 17 12470 1599
p 2 0 914 6 11070 1590
p 2 0 909 11 12740 1542
p 2 0 856 64 7128 1191
p 2 0 882 38 10455 1341
p 2 0 843 77 8060 1215
i 2 920 0 0 37042 4198
p 2 1 912 7 14833 1619
p 2 0 732 188 2893 961
p 2 0 842 78 7531 1191
p 2 0 875 45 8352 1287
p 2 0 846 74 6848 1218
p 2 0 905 15 14123 1512
p 2 0 908 12 10809 1582
i 2 920 0 0 26688 3628
p 2 2 890 28 5951 1542
p 2 0 911 9 7803 1579
p 2 0 802 118 3451 1227
p 2 0 788 132 3037 1087
p 2 0 913 7 6156 1445
p 2 0 847 73 5338 1182
p 2 0 894 26 5439 1359
p 2 0 831 89 3495 1179
p 2 0 799 121 2709 1075
p 2 0 909 11 6330 1398
p 2 0 886 34 5222 1315
p 2 0 898 22 6723 1463
p 2 0 897 23 6171 1410
p 2 0 754 166 2446 1076
p 2 0 876 44 6431 1323
p 2 0 842 78 5365 1290
p 2 0 912 8 7045 1511
p 2 0 904 16 6898 1405
p 2 0 821 99 3685 1165
p 2 0 893 27 7005 1412
p 2 0 845 75 4759 1236
p 2 0 895 25 6292 1432
p 2 0 875 45 5766 1313
p 2 0 846 74 3797 1179
p 2 0 874 46 5702 1328
p 2 0 821 99 4385 1181
p 2 0 874 46 6581 1360
p 2 0 875 45 6788 1365
p 2 0 749 171 2943 1079
p 2 0 883 37 7210 1355
p 2 0 873 47 6171 1295
p 2 0 893 27 7455 1460
p 2 0 883 37 6660 1383
p 2 0 755 165 3599 1054
p 2 0 911 9 9243 1467
p 2 0 763 157 3744 1099
p 2 0 846 74 5715 1306
p 2 0 871 49 6892 1349
p 2 0 678 242 2401 956
p 2 0 812 108 6306 1199
p 2 0 860 60 6181 1318
p 2 0 831 89 5966 1247
p 2 0 863 57 7057 1276
p 2 0 885 35 5511 1342
p 2 0 850 70 5652 1222
p 2 0 853 67 6679 1299
p 2 0 915 5 8357 1441
p 2 0 880 40 7286 1335
p 2 0 755 165 3383 1034
p 2 0 905 15 8351 1416
p 2 0 811 109 5030 1128
p 2 0 861 59 7875 1329
p 2 0 895 25 8250 1384
p 2 0 669 251 2486 937
p 2 0 842 78 5890 1205
p 2 0 862 58 7312 1345
p 2 0 880 40 7863 1329
p 2 0 886 34 7409 1338
p 2 0 885 35 5841 1348
p 2 0 868 52 6442 1281
p 2 0 841 79 5701 1232
p 2 0 915 5 9384 1466
p 2 0 913 7 8939 1390
p 2 0 794 126 3919 1092
p 2 0 915 5 10364 1456
p 2 0 776 144 4170 1094
p 2 0 894 26 6375 1327
p 2 0 912 8 11792 1483
p 2 0 740 180 2802 1034
p 2 0 875 45 5921 1294
p 2 0 876 44 7158 1302
p 2 0 918 2 9920 1435
p 2 0 909 11 9227 1516
p 2 0 876 44 5221 1235
p 2 0 915 5 9391 1496
p 2 0 821 99 4491 1216
p 2 0 900 20 5966 1354
p 2 0 917 3 9138 1461
p 2 0 810 110 3735 1094
p 2 0 920 0 13721 1551
p 2 0 862 58 12444 1323
p 2 0 896 24 9170 1379
p 2 0 918 2 10505 1511
p 2 0 728 192 3083 1014
p 2 0 872 48 5672 1282
p 2 0 880 40 6385 1345
p 2 0 863 57 6051 1275
p 2 0 890 30 8420 1414
p 2 0 888 32 6030 1395
p 2 0 887 33 7919 1348
p 2 1 839 80 5157 1220
p 2 0 901 19 6605 1389
p 2 0 903 17 7313 1336
p 2 0 741 179 2630 999
p 2 0 909 11 7653 1444
p 2 0 824 96 5550 1138
p 2 0 891 29 6506 1333
p 2 0 871 49 7132 1311
p 2 0 705 215 2434 965
p 2 0 815 105 3857 1124
p 2 0 886 34 6696 1348
p 2 0 912 8 8222 1394
p 2 0 871 49 6606 1338
p 2 0 886 34 4991 1333
p 2 0 851 69 5536 1195
p 2 0 854 66 5198 1235
p 2 0 894 26 6678 1421
p 2 0 915 5 8720 1369
p 2 0 754 166 2859 1016
p 2 0 897 23 8097 1397
p 2 0 862 58 6018 1193
p 2 0 875 45 6191 1281
p 2 0 908 12 10247 1449
p 2 0 786 134 3484 1069
p 2 0 886 34 10405 1396
p 2 0 891 29 7931 1389
p 2 0 899 21 6640 1310
p 2 0 912 8 8254 1380
p 2 0 839 81 3968 1188
p 2 0 887 33 7302 1324
p 2 0 826 94 4882 1171
p 2 0 888 32 7452 1412
p 2 0 911 9 8647 1390
p 2 0 785 135 2919 1058
p 2 0 912 8 7144 1382
p 2 0 823 97 4513 1110
p 2 0 880 40 7610 1369
p 2 0 908 12 9234 1451
p 2 0 745 175 2842 1029
p 2 0 824 96 7134 1215
p 2 0 905 15 9318 1446
p 2 0 900 20 11685 1407
p 2 0 914 6 10395 1496
p 2 0 826 94 4179 1188
p 2 0 906 14 7802 1373
p 2 0 841 79 4646 1184
p 2 0 910 10 7730 1423
p 2 0 897 23 8280 1360
p 2 0 771 149 3277 1072
p 2 0 905 15 8227 1368
p 2 0 838 82 4845 1190
p 2 0 899 21 6945 1346
p 2 0 889 31 6600 1278
p 2 0 770 150 3279 1058
p 2 0 884 36 7145 1309
p 2 0 900 20 8899 1336
p 2 0 885 35 7162 1308
p 2 0 901 19 8758 1419
p 2 0 808 112 4196 1131
p 2 0 904 16 8185 1370
p 2 0 835 85 4488 1164
p 2 0 916 4 8170 1450
p 2 0 914 6 8046 1380
p 2 0 736 184 2685 979
p 2 0 907 13 7740 1385
p 2 0 838 82 5525 1149
p 2 0 907 13 7754 1414
p 2 0 905 15 8611 1386
p 2 0 804 116 4598 1107
p 2 0 819 101 4612 1177
p 2 0 877 43 7020 1340
p 2 0 896 24 8396 1364
p 2 0 900 20 7415 1400
p 2 0 891 29 6142 1341
p 2 0 878 42 8021 1295
p 2 0 801 119 4715 1122
p 2 0 895 25 8471 1385
p 2 0 890 30 7182 1329
p 2 0 758 162 2865 1017
p 2 0 907 13 7394 1389
p 2 0 865 55 9534 1302
p 2 0 881 39 8471 1384
p 2 0 912 8 8897 1477
p 2 0 749 171 3206 1032
p 2 0 853 67 5652 1213
p 2 0 886 34 8001 1331
p 2 0 881 39 9149 1331
p 2 0 891 29 8409 1390
p 2 0 899 21 6118 1350
p 2 0 895 25 8364 1330
p 2 0 858 62 5521 1224
p 2 0 908 12 7773 1455
p 2 0 900 20 7454 1322
p 2 0 707 213 2517 951
p 2 0 908 12 7736 1389
p 2 0 868 52 7528 1224
p 2 0 880 40 6591 1305
p 2 0 897 23 9079 1393
p 2 0 722 198 3150 994
p 2 0 872 48 7667 1321
p 2 0 892 28 7645 1374
p 2 0 906 14 9229 1380
p 2 0 915 5 8338 1441
p 2 0 834 86 4775 1196
p 2 0 869 51 6513 1282
p 2 0 851 69 5053 1209
p 2 0 905 15 6414 1401
p 2 0 905 15 8674 1381
p 2 0 782 138 2910 1073
p 2 0 905 15 10860 1403
p 2 0 870 50 11747 1340
p 2 0 911 9 12859 1462
p 2 0 899 21 11012 1403
p 2 0 819 101 3718 1122
p 2 0 900 20 12321 1429
p 2 0 887 33 8849 1337
p 2 0 890 30 5425 1285
p 2 0 904 16 7156 1379
p 2 0 824 96 3867 1154
p 2 0 892 28 7261 1315
p 2 0 823 97 4402 1152
p 2 0 879 41 6984 1387
p 2 0 911 9 9375 1418
p 2 0 760 160 2844 1014
p 2 0 912 8 8165 1423
p 2 0 845 75 5486 1193
p 2 0 866 54 4936 1273
p 2 0 889 31 7018 1328
